3ehx_A -2.292_-4.242_-5.148
5ho8_A 41.988_18.040_3.869
3ifp_HL 74.037_-14.177_45.129
5vlr_A 39.275_14.161_33.000
4c5d_AB -15.636_-25.125_-13.598
1r5g_A 17.294_29.722_17.955
4wwo_A 20.749_16.391_20.943
1jys_AB -5.433_-37.035_-0.141
6g9f_A 7.939_38.424_43.989
6mod_A -13.005_-16.394_-26.611
5iu8_A -19.933_10.152_16.408
1zz3_A -4.536_-12.065_39.916
3r9n_A 91.737_80.409_-47.714
1uyg_A 3.410_11.838_24.504
5tqf_HL 6.425_37.063_24.650
4ok3_AB -19.031_-31.524_31.854
5v7t_A -16.008_10.335_-27.563
1lzq_AB -23.615_38.314_26.462
6nel_A 11.347_22.472_-12.409
3ex6_AB 22.623_-6.878_14.441
6nad_A 115.122_-25.292_3.027
4nmt_A 14.732_23.001_18.847
1nje_A 15.327_49.500_-55.629
5aph_AC -26.062_8.019_-15.623
6h7b_ACD 6.073_-31.777_-7.404
2qlf_ABCDFG -48.784_17.503_32.763
6b5i_ABCD 41.733_151.427_365.010
6jon_A -14.828_22.422_-1.823
6mnv_A 26.852_51.845_15.628
5icv_A 8.909_61.454_10.732
4aq4_A 43.266_23.578_178.054
5diu_A 13.015_-3.739_-8.073
3b28_A -27.212_21.848_-20.740
5isz_ABDE 45.080_-37.719_57.289
4xbd_A -19.419_19.895_-32.677
5yqo_A -13.494_-10.118_-18.409
2nxm_AB 5.145_-1.527_13.326
6dxx_ABG 30.303_0.130_25.610
5bvo_A 21.874_37.152_37.141
1v3x_AB 7.647_5.711_21.564
4rg0_A 25.593_7.224_2.691
1u9q_X 2.129_11.337_6.053
1ppk_E 20.567_7.938_20.625
3ika_A -12.449_16.260_32.263
1uxa_ABCDEF 46.176_53.970_64.383
4olh_A 39.664_-20.474_-16.771
1v11_AB 73.624_2.517_7.960
5laz_A -8.149_11.072_-1.144
1b2h_A 3.288_19.085_14.851
6di1_A -14.192_-7.899_-1.535
4k63_ABI -86.394_64.214_37.542
2hha_ABCDEFGHIJK 39.456_49.302_38.192
3su3_A -15.185_-10.100_15.285
3rz8_A 17.839_6.042_14.459
2xui_AC 31.896_22.820_10.521
4q4q_A -17.487_19.135_-18.468
4o4g_AB 214.673_-26.828_36.620
3bt9_AB -66.985_-46.647_5.800
6oyh_AE 292.473_1.852_218.508
4lm2_A 4.434_13.087_44.140
6grp_AB -0.186_-0.276_-22.529
5ew0_A 4.167_-0.964_88.636
2z5s_M 17.000_10.445_43.099
1l2s_A 23.442_5.750_14.231
6hck_AB -18.320_-13.818_13.966
3zbf_A 43.282_20.021_3.701
4k3r_AB 3.244_-5.564_-13.210
1hgi_ABCDEFGHI -6.612_74.079_27.100
4tqn_A -15.123_-3.043_-2.582
3up2_A 4.681_31.169_5.359
1o3h_A 43.326_-2.520_29.765
1wn6_AB 43.985_19.920_37.896
3k3i_A 1.301_2.779_-15.808
3anr_A 7.160_27.308_11.866
4gui_AB -17.661_0.748_18.981
3pd3_AB 8.845_5.906_-15.610
4o70_A 30.076_-32.796_-21.837
1odi_ABCDEF 1.702_-80.351_-144.367
1gz4_ABCD 11.051_35.144_34.062
4n9c_AB 10.133_6.812_40.409
3fwv_A -19.774_10.117_2.026
1d4y_AB 12.422_23.748_5.748
5kz0_A 31.475_45.753_7.812
6gqm_A 34.414_96.963_10.714
5d1t_A 9.216_18.786_26.476
1z3v_AB 2.532_11.725_23.653
4x0z_ABCDEFGH 16.236_-23.523_10.603
4q1y_AB 19.843_29.974_13.914
5wio_AD 34.789_13.008_3.837
5q0n_AB 23.322_19.310_3.843
5vdv_A -29.709_17.753_-23.864
5iis_A -18.845_37.218_-2.471
3uh2_A -27.434_-7.121_6.296
3smq_A 3.151_-4.988_10.343
4tkj_A 7.429_-20.980_-2.572
3tvw_A 5.332_31.410_22.255
5zk9_A -55.461_-44.391_101.048
3cpj_BG -21.341_44.014_17.638
1wdy_A 17.251_-1.324_14.784
3ioi_A 13.428_20.016_7.828
2wnc_ABCDE -71.806_-49.440_-73.367
6t6a_A 5.908_10.175_27.390
1d3d_ABH -18.676_-34.876_20.107
3mg4_12ABCDEFGHIJKLMNOPQRSTUVWXYZ 10.720_-137.040_18.553
3d4y_A 30.643_65.812_8.660
4rd3_A -31.812_-22.804_18.925
2jjb_AC -3.955_-34.422_42.096
5tks_A 41.747_-20.296_29.361
5n9k_A -16.824_17.994_46.352
5jau_A 18.495_7.273_-4.701
2yln_A 7.896_2.755_-1.102
6i5p_A 16.158_3.519_19.964
1hvj_AB 5.305_-1.517_14.117
6p84_ABC -15.286_26.040_18.637
4hv3_A -26.481_12.224_-10.816
5ekj_A 0.959_7.437_84.008
4aml_AB -7.144_41.421_5.566
6hpg_A 7.794_12.070_-15.426
6dji_A 7.566_-14.037_-34.394
4yv5_AB -23.203_-17.712_20.832
5wj6_AC 77.476_164.839_-0.691
4v24_A -25.941_9.459_-13.485
2flu_X -2.359_6.230_1.836
1z6e_AL 7.526_31.052_57.542
3ds0_A -24.738_1.454_-18.072
5tol_A -26.156_51.751_21.563
1stp_A 11.045_1.668_-10.876
6mhm_ABEF -8.330_1.322_29.915
2it4_A 13.807_36.468_18.972
3tfp_A -2.151_-29.145_7.185
3mg7_12ABCDEFGHIJKLMNOPQRSTUVWXYZ 11.817_-136.756_19.223
4yih_AB -8.352_2.510_-5.345
3nuj_AB 12.756_20.071_16.990
4o71_A 24.650_98.838_31.676
1bhf_A 24.851_0.535_1.629
5y7k_AB 48.518_-16.402_50.304
4tt2_A 20.926_-1.652_14.579
6mso_AB 96.304_-9.884_69.435
1csi_A 15.740_-9.557_9.622
2q54_AB 20.562_-2.577_16.296
4p6w_AB 26.679_-52.372_-36.678
2ymd_ABCDEFGHIJ 12.230_7.978_7.948
3pcg_ABCDEFMNOPQR 14.620_11.286_41.049
5bs0_ABDE 98.217_36.602_271.216
6rn7_ABCD 30.615_27.062_21.167
6jdl_A 33.205_-15.231_-2.197
2ajd_ABEFGH -7.157_18.738_3.868
2ygu_AB 61.570_65.268_-29.322
5urm_A 18.101_-12.185_38.530
5he4_A 20.758_10.065_21.325
4ra5_AB -25.848_3.255_-27.899
6ncn_A -6.131_-13.538_-14.333
2ggb_A 14.899_-1.972_17.972
4bzn_A 22.518_-34.565_2.784
1lox_A -27.116_151.833_56.937
3ewu_AB 4.942_6.451_27.634
6qr2_AB -22.148_20.629_-10.596
5g6u_ABCD 86.289_25.432_55.266
4c38_AI 27.946_-10.106_2.444
6e3g_AC 5.920_56.621_-6.295
1ndw_A 49.022_55.771_20.929
3qi1_A 0.941_16.715_-10.154
2c97_ABCDE -21.108_0.885_3.560
4rgd_AB 45.478_19.750_88.752
3arp_A 13.711_-7.897_25.527
5jsj_A 11.965_0.150_3.231
5qaz_A 97.263_249.278_5.965
1ero_A 41.943_36.863_32.834
6nsq_AB -5.644_-9.701_25.045
4mwv_AB 62.425_16.957_-26.537
3e6k_A 21.523_-10.996_5.316
3ctt_A 1.429_-15.764_20.224
3wp1_B 148.143_146.194_3.290
5ldo_A 84.764_-11.728_-4.148
2xtk_A 15.206_37.240_73.888
2qbs_A 47.508_11.195_2.327
3tk2_A 5.270_-7.391_-14.711
3eio_ABCDEFGH 42.821_11.874_27.497
5aei_A 6.135_47.442_-17.739
5xvq_A 22.424_0.964_12.020
2jkt_ABMS 57.282_-32.797_-102.321
10gs_AB 9.945_6.716_27.924
2ce9_AB -21.087_-12.386_38.347
1o33_A 43.525_-2.209_29.260
2q9n_A 20.963_22.883_23.993
4j86_A -24.055_-10.626_-20.037
4li6_A -25.194_-6.258_8.751
6g47_ABCD 13.388_-20.815_-31.712
4ycv_AB 13.294_-12.802_62.391
1rin_ABCD 16.996_6.550_25.055
1ll4_AE 66.757_30.910_49.628
5e0j_A 60.542_-52.508_19.850
4zy6_A 15.513_-14.716_14.804
6oja_ABCDEF 50.288_-9.021_-33.082
4wnp_A 102.360_43.181_16.947
3n35_A -39.561_-29.613_-4.694
2lh8_A -12.204_8.770_6.677
2bb7_A -4.354_-0.852_7.681
2bpy_AB 10.589_24.009_5.180
2whp_A 33.853_22.282_10.277
2qhr_HL 83.360_-19.265_54.370
5mks_A -16.481_-9.671_8.996
3l58_A 24.080_12.302_23.229
1o4h_A 18.046_29.789_18.480
3qxv_A -20.063_11.009_-30.219
4n3r_A -5.593_40.943_27.920
4zwy_A -1.346_6.691_13.462
4yhm_HL -2.401_20.765_9.955
3nex_AB 0.056_-0.199_4.785
4hrc_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.605_-136.459_38.590
4k4f_A -8.806_42.198_27.893
5ei8_A -0.252_-36.479_-9.684
2rkg_AB -9.532_15.339_0.564
4r59_A -0.608_6.908_83.440
5aip_AB 31.283_19.810_16.659
4pms_A 31.990_-33.379_-7.350
6djd_A -7.380_-13.818_32.550
4d0x_A 31.916_-13.311_4.093
5fnf_A 0.419_9.975_24.846
1pwy_E -16.937_87.663_1.170
1abf_A 13.521_56.659_53.704
2wmw_A 17.035_-3.246_11.633
5mmn_A -47.645_3.335_4.806
5vgi_A -19.186_5.649_50.537
2pj5_A 37.564_13.409_61.507
6iou_AB 8.955_2.712_17.189
4zqt_A 14.150_10.813_11.966
6cq4_A 107.423_-11.971_3.863
4p4d_ABCDEF 18.794_46.752_43.344
3n23_ABG -26.821_-20.790_73.751
2piy_A 37.937_13.108_62.084
4z7o_ABHJKL 54.257_111.479_73.830
6mle_E 2.682_-1.057_-10.674
5wre_ABCDEF -44.951_9.882_29.091
1a69_ABC -18.070_71.257_68.684
6hkn_A 0.447_-40.064_-10.698
3wk8_A -16.881_-10.571_70.379
5za1_A -17.632_26.553_-31.325
5nn6_ABCDEF -14.556_-32.138_95.763
5o9o_A 10.932_12.076_20.224
3skf_A 79.776_61.665_82.996
2qrh_A 34.202_22.886_28.511
3khv_A -29.433_87.989_-11.522
1g6s_A 55.590_10.379_28.646
6e6w_A -22.542_17.582_135.721
1f3j_ABDEQ 30.933_68.242_20.874
3lpk_AB 23.211_11.996_23.086
2auc_ABC 69.081_17.621_4.027
2w6o_A 18.238_9.333_-1.228
4o6e_A 17.500_7.233_12.694
4bdg_A -37.919_32.674_6.960
6hm2_A 20.100_-26.317_21.411
1r5y_A 17.043_16.843_21.354
4oyt_AB 16.194_-5.207_23.823
4r5x_A 14.868_9.699_13.037
4jxw_A 22.711_4.682_13.068
3fyz_A 103.688_33.036_30.421
3r93_A 6.119_18.246_22.146
4pvy_F 16.752_29.407_-6.959
4hbm_A 19.028_13.396_15.877
4d89_A 29.910_71.493_18.400
3my1_AB 52.474_-17.601_-12.627
3ttn_A 21.838_29.619_33.693
4buq_A 20.110_-5.957_10.027
5mwd_A 15.029_17.824_14.631
5i94_ABCD 114.917_161.276_42.126
2f6j_ABC 36.270_15.208_60.134
3wyl_A 8.157_-1.977_-20.974
4uiv_A 0.089_14.380_13.138
4elb_A 20.747_-29.587_-2.055
5cil_HL 20.791_-6.916_-34.169
5ai1_A 3.393_12.592_-8.402
5qa9_A 95.464_248.787_5.933
3du8_A 20.679_-16.317_-9.605
4c1e_A 76.289_7.221_58.402
4hiq_AB 0.535_-0.352_-5.922
1os0_A 36.510_39.700_-4.154
4o15_AB 16.052_7.926_1.205
1h8y_AB 33.067_91.758_56.030
3f3w_A 4.250_33.559_7.398
5o1f_A 91.363_91.991_-45.188
6r1d_A 9.331_7.572_6.125
3eq9_A 7.077_37.144_32.468
3qce_B 32.762_56.456_78.650
5mxr_A -3.570_-15.738_-5.941
2bqv_AB 13.502_23.061_5.812
2uw0_AI 9.679_9.576_3.146
5klp_A 9.082_7.454_-15.561
3pww_A -0.872_5.420_9.637
1nu3_AB 16.788_23.042_8.858
3bxe_AB -42.622_1.884_5.401
4cpy_ABCD -19.490_90.707_13.980
5eob_A -0.773_10.497_29.325
4zji_A 12.070_46.297_43.901
6me1_AB 17.222_-6.714_11.313
2hdu_A 20.864_5.988_14.314
5izm_A -7.862_-0.850_17.849
4gw1_AB 8.302_6.202_30.915
3ghe_HL 47.284_-4.463_34.759
4dwb_A 11.637_17.658_175.563
3ws9_A 20.593_4.888_58.752
5nxi_A -4.015_6.932_14.451
1jcx_AB 34.905_52.630_18.925
5auz_A -22.751_2.456_-10.744
4hkp_AB 22.810_-9.774_14.683
5aae_A 4.904_-29.895_-5.344
3sug_A 14.288_-10.175_-15.049
3l2y_ABCDE -165.441_41.889_0.888
5ale_A 17.449_9.781_11.108
5v86_A 14.594_-10.192_-9.924
4yw2_AC 24.237_-14.011_50.500
4bjb_A 11.903_6.482_18.571
5y7j_AB 42.282_13.947_31.692
4x1p_U 27.744_17.590_-20.945
6f4w_ABCDEF -7.748_-7.035_15.406
4lwv_A 0.693_-29.184_-11.934
1ywh_ACDEFGHIJKLMNOPQRSTUVWXYZabcdefgh 19.837_13.223_50.806
6t1o_A -2.908_13.894_17.497
2wlz_A 28.926_73.684_-2.883
4qnu_A 36.519_67.472_12.304
5u13_AB 6.828_-1.781_22.527
4k19_A 28.913_77.279_67.342
4nro_A 13.052_22.713_15.413
5k05_A 23.832_1.426_-20.357
1ax0_AB 15.839_-1.197_35.830
3fz1_A -0.882_28.437_10.232
4hyu_AB -2.634_0.950_13.778
5c29_A 5.357_12.980_42.538
2fb8_A -40.993_30.035_-0.497
6e4a_A 14.325_-4.508_44.459
6oos_AB 5.715_0.680_32.720
3c56_AB -4.234_-4.374_-7.830
2aa9_A 56.666_10.829_28.709
5t8o_A 42.598_18.723_-0.247
5tg6_A 3.139_31.382_-16.471
6htg_A 44.680_35.773_87.275
5ox5_A 91.641_-69.826_0.414
4eke_A 35.371_23.968_29.646
4is6_AB 9.701_40.918_16.504
3h0y_A 51.864_10.560_25.112
5xmp_AB 133.503_9.725_329.954
3ttm_A 17.436_16.116_26.777
2y5g_AL -3.202_10.074_21.165
3dya_AB 50.399_65.400_17.239
5n7g_A 341.405_-51.616_428.577
1ykr_A 1.420_28.724_8.778
4k7n_A -27.892_-9.507_-43.814
6hx1_A -5.587_-9.615_27.256
3eka_A 15.228_-0.962_36.408
3ozr_A -22.140_29.590_9.541
6g84_ABC 18.339_-60.179_10.432
1ciz_A 26.824_48.952_-1.427
6acb_A 32.195_-31.848_-41.379
2bve_A 20.330_37.602_31.484
6aqs_A -6.879_30.355_13.287
4l10_AC -6.226_-37.276_11.455
4j82_A -23.206_109.925_-132.177
3k5x_A -26.363_30.417_-13.883
4w5j_A 57.721_2.371_30.110
3rt6_B 22.119_19.498_14.938
6msa_A -20.537_13.241_-35.441
2bmz_ABCDEF 9.774_31.655_44.107
4azb_A 35.719_14.901_-21.999
6bin_ABD 54.101_23.722_-5.309
6equ_A -2.669_4.764_12.090
4xxs_A 16.819_-38.374_9.235
1zs0_A 10.344_22.643_14.828
3nil_D -40.415_12.543_-8.438
3cfs_B 10.325_-15.217_34.669
2ai8_A 44.522_5.590_15.185
6e7u_ABE 188.336_-60.736_291.703
4xas_AB -27.461_31.155_-26.243
2vvv_AL -4.955_8.814_22.026
4nwc_A 4.924_28.461_15.006
1k6v_AB 5.180_-2.076_14.138
3tu7_HIL 26.127_4.670_20.356
6n3y_AB -31.396_6.518_-26.413
5k4l_AB 189.177_1.711_-17.878
3uli_A 0.735_27.252_9.801
6p3u_A 19.260_-10.717_36.093
3veh_A -3.630_0.736_30.484
4jpe_A 24.567_14.702_8.879
2mas_ABCD 105.583_35.878_81.911
6ggg_AB -28.700_2.836_4.119
2q9y_AB -40.543_-3.414_15.189
4u5u_A 2.279_36.765_11.559
1pxh_A 6.903_17.710_9.951
2w76_B -65.772_-41.750_21.532
1fv9_A 19.507_17.601_33.653
3kmm_A 27.794_37.885_85.249
6chl_AB 169.678_173.215_56.668
6g9s_A 7.474_38.509_44.683
1p4r_AB 18.122_30.428_15.990
5m4q_AB 22.785_3.180_77.802
3tf7_AC -24.551_-36.575_-33.011
2lct_A -0.385_2.621_13.499
4dij_A 9.961_-3.120_15.667
5mlo_ 87.361_16.369_32.648
4f5y_AB 18.582_22.065_19.377
2e2b_A 15.945_51.978_16.642
4mb9_A 15.239_28.830_7.059
4q4s_A -17.185_18.092_-19.651
5alp_A 15.519_-10.744_-17.520
3h0q_A 4.652_31.571_22.825
5nb7_A 7.397_8.732_3.241
4jt8_A 23.316_43.368_-11.524
3ipu_ABCD 20.080_-16.498_18.725
2xsb_A 9.478_15.738_31.051
1rti_AB -2.417_-34.494_25.236
3ovx_A 28.822_37.161_22.136
4hxz_A 15.809_-31.802_1.488
5t23_A -47.939_17.577_-31.767
5n0e_A -2.467_5.052_13.082
5axp_A 8.779_-1.473_-21.642
4kxn_AB 4.602_-2.912_39.695
4jj7_A 57.274_79.987_152.306
5llh_A -3.706_4.697_14.605
6h1d_AB -14.595_-15.547_-18.562
5f08_A 27.902_9.993_-2.958
4mx0_AB 26.514_-62.501_16.683
3unz_A -31.109_9.628_10.057
4qqi_A 20.596_-0.711_24.705
3q4b_A 28.371_-8.152_-11.788
4mse_A 3.759_15.557_40.069
1r58_A 18.300_30.997_17.116
4oyi_A 18.108_23.529_-1.150
5alf_A 13.267_9.951_18.838
1sqa_A 23.660_16.009_33.040
3rw9_AB 2.950_65.212_8.057
1il3_A 1.171_1.145_7.244
2h2j_A 72.116_130.706_53.211
5zyg_A -33.055_3.154_-6.152
4dhm_A 23.411_11.160_-10.298
4o97_AB 19.351_6.031_25.334
5ehv_A 19.213_6.389_13.856
5nwh_AB 12.508_-14.545_-11.040
5dy5_A 5.615_1.051_19.355
6h7d_A -20.867_-5.765_-1.470
4b1j_A 27.869_-0.929_3.935
6jn6_A -30.227_12.697_68.326
4hwr_AB 32.191_-39.335_30.041
2xk4_A -26.004_20.094_-18.877
3vhk_A -29.263_26.236_16.586
5mnn_A -1.669_-14.518_-16.399
1i6v_ABCDE 48.771_94.204_24.324
4zx4_A 14.550_119.763_132.520
4bam_ABD 16.349_-13.291_22.248
4y4j_A -2.336_2.389_10.721
3ao5_ABC 14.549_-9.118_-6.862
3lpt_A 35.652_31.152_6.683
4erw_A -0.548_-7.929_26.523
4qp1_A -15.907_-37.340_-25.819
4a6s_AB 15.065_15.538_67.117
3dpo_ABC -41.035_33.201_-14.925
6e5b_ABCDEFGHIJKLMNOPQRSTUVWXYZab -6.611_16.876_1.709
6qpl_B -10.690_-37.039_-5.642
1jut_AB 14.021_14.392_34.989
4oeg_AB 12.276_-20.107_21.684
1tlp_E 51.693_15.746_-5.069
2f3e_A 29.488_5.506_14.594
1rtf_AB -7.061_31.046_34.072
2wot_A 3.411_8.235_4.814
3w2q_A -1.087_22.113_50.222
2oh0_EI 10.549_9.970_1.722
4o42_A -17.059_1.256_17.555
5g60_AE 20.898_43.931_50.361
5ea7_F 19.200_20.759_18.946
5kks_AB 50.972_104.067_31.496
1e66_A 4.084_68.074_65.053
6ckl_AB 158.862_23.171_-21.190
4gm8_A 13.148_-13.092_36.509
5anv_A 15.262_20.873_3.928
3ole_ABCDE 9.719_-19.299_-26.425
4h3b_A -12.786_22.771_20.736
1o4j_A 19.655_31.469_16.807
4ytf_A 15.106_12.899_3.909
1cil_A -3.562_3.647_13.780
3il6_A -138.042_133.152_91.084
3wci_ABCDEF -16.238_46.164_-49.502
4btm_A -4.112_5.730_-33.073
1avd_AB 35.514_10.201_18.180
6axj_A 61.335_-2.287_27.647
6cho_AB 144.797_160.768_32.685
5ivt_AB -13.922_21.529_-6.170
3d6q_A 39.001_-1.757_13.603
1c5p_A 45.400_19.417_52.658
2ybt_A 27.092_-34.418_-41.870
1c1u_HIL 14.212_-12.412_19.651
6bj2_ABDEF -22.787_-23.750_117.956
2y4s_AB 49.603_37.006_33.067
4q0k_A 2.222_23.426_33.847
1k3q_A 1.764_-23.425_-20.440
4a7j_A -2.709_16.373_28.264
3dp2_ABCDEF 14.417_17.625_-12.654
5jox_A 305.288_219.839_332.135
1juf_AB 23.583_16.330_-8.902
4tnw_ABCDEFGHIJKLMNO -47.593_-16.199_32.601
3ksl_AB 190.534_122.544_32.198
5xmt_AB -24.961_31.977_61.183
2y4k_A 36.306_-41.433_-1.645
2oxy_A -11.361_5.389_4.925
2xyf_AB 13.170_22.211_6.203
1okz_A 82.754_18.200_12.092
4dht_A 23.335_11.040_-10.132
3bmq_ABCD 7.610_-12.111_14.673
4bky_A 13.684_11.024_6.331
4bt3_A -23.187_30.197_83.830
2z4r_A 41.471_9.635_22.265
1h8l_ABC 8.236_31.909_19.969
3rk9_A -39.318_-80.556_-84.835
1z9g_E 37.089_41.798_-3.023
4yw7_C 5.981_-34.117_0.230
1uod_AB 62.435_29.692_59.082
6eq6_A -14.170_11.865_-20.857
1yhm_AB 47.826_50.343_204.376
5q0z_AB 13.826_22.711_2.692
2h44_A 70.195_27.278_26.582
4gj2_A -8.008_-9.199_-17.565
4edz_AB 32.659_13.566_-24.209
1sm3_HL 19.421_-5.139_-9.260
1pk0_ABCDEF 35.595_66.966_42.042
3rdh_AD -81.780_64.787_9.249
1h1d_A -29.515_58.402_51.976
5ngt_A -14.570_-15.515_10.456
2clx_A 26.563_30.005_8.574
6f7c_ABCDEF 17.001_65.734_42.590
5qa7_A 96.482_249.857_6.341
6hm7_A 25.228_-39.789_36.868
5ho6_A 18.116_-13.213_62.561
2ywp_A -3.346_8.875_-18.640
3skk_A 25.021_-12.501_-5.656
5ytu_AH -76.153_5.904_-3.178
2rc8_AB 13.245_48.461_7.425
1mv0_ -1.239_-10.921_-14.024
1ikv_AB -9.986_143.019_174.092
1lt6_DEFGH 12.221_22.611_-3.441
2rkm_A 5.698_19.439_15.725
3m17_ 19.095_76.722_48.981
4bps_A 55.978_5.266_6.861
4jok_A 16.098_22.645_17.810
5khj_AB -18.397_-0.422_-31.537
3ntp_A -6.980_41.658_82.430
2y9g_ABCDE -0.500_4.390_-0.571
4mc6_AB 13.000_22.609_5.617
3ozp_A 35.280_-59.846_41.719
4ts1_AB 14.343_4.557_27.902
6inm_AB 24.684_75.824_26.269
6g7a_AB 26.215_6.401_11.263
6ggb_A 91.053_95.599_-43.409
4ap0_A 8.912_1.551_29.356
5bry_AB 15.818_22.511_16.583
5f5i_A -27.829_-19.232_-23.231
3sov_A -16.662_9.886_-3.725
6pii_A 4.745_35.216_123.710
4ydq_AB 179.216_10.239_31.040
1bzs_A 27.513_57.756_50.827
3lk0_AB 13.286_16.020_52.472
1ngw_HL 111.822_87.461_60.934
1dqn_AB 20.290_9.627_50.401
4fvq_A -6.609_11.338_21.524
5jga_A -17.266_-48.465_-16.668
6h7y_ABCDE 20.533_46.500_42.029
2zdm_A -26.173_0.294_16.689
5cte_BC 8.096_-9.558_-20.659
1t69_A 30.101_-3.343_-13.575
5bwb_A -55.208_33.656_22.024
2y7z_AB 8.092_4.867_21.441
6ela_A 8.492_9.994_34.297
3k84_AB -47.931_-2.845_-3.170
4fbx_AB 19.034_-2.380_17.422
3f07_A -25.827_30.098_-40.996
4fxj_ABCD 26.876_-16.419_32.912
6gzd_A -5.714_-18.951_-9.215
1o0m_A 37.212_0.973_23.338
1grp_A 84.582_66.217_1.529
4pio_A 16.985_3.264_16.653
3u7k_A -16.062_84.595_70.319
3tww_ABD 1.263_-6.441_-7.466
3fxz_A -12.502_34.548_-17.753
1gfz_A 37.886_36.101_31.023
6r18_B 26.742_15.685_28.907
3tkm_A 8.562_5.142_29.052
6mlo_E 2.740_-1.277_-10.808
3hxi_AC 36.398_20.370_0.617
2fw3_A 18.139_6.716_32.034
4ciy_A -17.188_-29.194_7.966
5iza_A -11.631_-14.790_17.750
2wd1_A 104.164_21.259_140.360
2ieh_A 18.982_15.185_109.900
3q4l_ABD -11.020_8.494_30.178
3px9_X 0.540_6.444_4.219
2wib_A 17.635_41.706_21.455
4k6t_ABC 9.771_-29.976_3.184
5dyt_ABCDEFGHI 4.427_-10.716_-14.540
5hbh_AB 4.558_13.403_10.149
3g8e_AB 37.944_-6.473_-13.477
3bu8_ABD -18.075_10.666_-23.318
6mom_A 27.258_11.558_-9.367
4fob_A 21.615_9.109_7.658
5wbq_AB -5.703_-0.622_19.885
3hjo_AB 9.691_3.495_29.171
5tco_A 20.226_2.722_-23.411
3kjq_AB -10.803_35.914_42.404
3g8o_AB -2.700_-7.262_24.749
2xs0_A -13.804_26.893_11.311
1b0f_ABC 69.468_52.407_55.494
4mrh_A 1.153_3.839_-9.163
1ztq_A 20.215_69.654_39.748
6cha_ABCEFG 26.083_18.618_24.731
4ase_A -22.590_0.188_-12.154
5h1u_B 14.701_-6.990_-25.383
5zoo_G 45.500_-3.204_-7.505
3e8u_HL 23.858_36.062_53.782
1z3t_AB 2.496_11.631_23.660
3d9o_B 12.871_8.378_-7.535
6iql_AB 21.308_14.001_24.637
5fot_A 24.633_2.383_43.574
6qyo_AB 10.912_58.652_-6.323
4wvs_A -9.602_-851.876_6.032
4lhv_A -7.759_41.077_26.943
2nq6_A 44.801_19.640_40.179
5qc4_A 5.455_-0.818_13.630
4m12_A -5.541_9.040_14.315
2y5l_ABCD 37.995_11.161_-22.008
3uef_ACD -58.452_-70.970_36.360
3cwe_A 23.993_22.617_0.207
3le9_A 6.379_9.516_24.205
1qm5_ABCD 10.312_39.980_24.202
5db0_A -12.499_-15.220_-12.212
1rri_A 36.490_56.618_64.356
4nyf_AB 21.781_63.866_9.145
3v3m_A 24.185_-26.910_-2.706
1qwe_A 63.005_-1.673_-6.862
5a1f_A 85.521_65.591_14.049
4cae_A 24.433_43.254_65.025
3ekv_AB 19.776_30.045_14.287
2gtv_X -6.467_0.363_2.906
4u54_A -1.525_126.424_-12.359
1tfq_A -4.898_-12.697_3.781
1gca_A 83.169_28.489_86.629
5jdi_ABCD 6.611_-14.967_14.502
1jld_AB 51.393_22.613_3.561
5dyo_AB 25.775_31.703_26.808
2wd7_ABCD 8.509_-10.183_14.619
2gpp_ABCD -53.300_121.394_2.998
1gj5_HIL 15.025_-12.104_18.897
2emt_AE 50.720_27.323_66.592
5he3_ABG -14.897_27.857_17.153
3zt4_AB -32.625_31.530_0.350
2ipo_ABCD 42.437_29.073_17.190
4qmw_A -0.652_0.873_16.968
3m35_A 19.152_72.461_23.330
4x48_AC 61.032_28.391_43.541
1l6y_AB 23.043_88.117_52.456
6i10_A 0.202_0.380_-12.725
3s9t_A -3.381_3.919_13.299
5g1c_AB 11.226_59.220_23.627
5am7_A 217.868_3.454_24.772
4a1w_BCR -42.954_-15.279_25.608
4bea_A -20.430_-7.186_1.972
5htb_AC 26.644_32.439_11.772
4edy_AB 21.820_1.385_18.224
3hs9_A -2.477_-10.050_-10.957
4ef6_AB 15.138_10.445_-1.999
4q93_A -9.246_12.183_-9.849
4z0u_A 85.901_44.607_30.202
4k3m_AB 8.469_-5.702_-11.431
2q6h_A 27.652_20.402_22.732
2ima_A -3.990_-9.324_21.308
6g4z_A 30.022_53.063_-1.125
5od1_A 39.183_14.714_18.182
5u6d_A -15.872_-25.119_24.861
3d83_A 42.435_30.248_34.522
2bbb_AB 17.126_19.418_5.612
3pjt_AB -20.045_-45.210_13.596
2qlm_A 34.478_23.711_29.585
1fzq_A 15.811_5.292_16.266
6c0r_AB 50.655_-29.433_36.442
1y1z_A 21.173_33.037_7.645
2aie_P 26.531_-4.159_6.784
1ork_A 22.639_38.038_34.444
3sm2_AB -3.753_3.616_9.958
5h8g_A 10.882_-2.835_31.374
2ojg_A -13.951_13.675_41.656
2x4t_DE 32.407_38.239_38.779
2n27_A -3.497_-4.133_4.227
3cib_A 23.544_12.294_23.383
1xap_A 43.833_21.445_99.596
5mka_AB -12.774_14.885_-1.691
6ee3_A 90.741_118.113_13.868
5mrh_ABC -30.952_40.323_13.251
2pvn_A 22.436_6.559_20.549
1phw_A 4.592_-8.480_42.250
2lyb_A -0.724_-27.531_3.639
